ID	DOCULECT	CONCEPT	COGIDS	GLOSSID	IPA	TOKENS	PROTOSTEM	PROTOFORM	COUNTERPART	NOTE
159	Old_Welsh	clan, tribe	39	60	korð	k o r ð	*koryo-	*koryos	cordd
160	Gaulish	clan, tribe	39	60	kor	k o r	*koryo-	*koryos	cor-	Attested in ethnonyms such as Vocorii and personal name Atikoryos
161	Old_Irish	trench	40	61	krīk	k r ī k	*krīkʷ-	*krīkʷā	crích
162	Old_Welsh	trench	40	61	krīp	k r ī p	*krīkʷ-	*krīkʷā	crip
163	Middle_Breton	trench	40	61	krīb	k r ī b	*krīkʷ-	*krīkʷā	crib
164	Old_Irish	land, church	41	62	lan	l a n	*landā- 	*landā	lann
165	Old_Welsh	churchyard	41	62	lan	l a n	*landā-	*landā	llan
166	Gaulish	land	41	62	landā	l a n d ā	*landā-	*landā	landā	Reconstructed
167	Old_Irish	ale, liquor	42	63	laθ	l a θ	*lati-	*latis	laith
168	Middle_Welsh	drink, beer	42	64	ɬaid	ɬ a i d	*lati-	*latis	llad
169	Old_Breton	drink, beer	42	64	lat	l a t	*lati-	*latis	lat
170	Old_Cornish	drink, beer	42	64	lad	l a d	*lati-	*latis	lad
171	Gaulish	marsh	42	65	lat	l a t	*lati-	*latis	lat-	Attested in toponym Arelate (Arles)
172	Old_Irish	side, half	43	66	leθ	l e θ	*letos	*letos	leth
173	Middle_Welsh	half, width	43	66	ɬed	ɬ e d	*letos	*letos	lled
174	Middle_Breton	large	43	67	let 	l e t	*letos 	*letos	let
175	Old_Irish	liquid 	44	68	lind	l i n d	*lindo-	*lindos	lind
176	Middle_Welsh	drink, lake	44	69 	ɬin	ɬ i n	*lindo-	*lindos	llynn
177	Old_Breton	drink, lake	44	69	lin	l i n	*lindo-	*lindos	lin
178	Gaulish	liquid, lake	44	69	lindon	l i n d o n	*lindo-	*lindos	linda
179	Old_Irish	boat	45	70	loŋg	l o ŋ g	*longā-	*longā	long
180	Middle_Welsh	boat	45	70	ɬoŋ	ɬ o ŋ	*longā-	*longā	llong
181	Old_Breton	boat	45	70	loko	l o k o	*longā-	*longā	locou
182	Gaulish	boat	45	70	loŋga	l o ŋ g a	*longā-	*longā	longa
183	Old_Irish	god, lug	46	72	luɣ	l u ɣ	*lugu-	*lugus	Lug
184	Old_Welsh	god, lug	46	72	ɬū	ɬ ū	*lugu-	*lugus	Llew
185	Gaulish	god, lug	46 	72	lugus	l u g u s	*lugu-	*lugus	Lugus
186	Celtiberian	god, lug	46	72	lugu	l u g u	*lugu-	*lugus	lugu	attested only as dative LUGUEI
187	Old_Irish	noble, chief	47	73	māl	m ā l	*maglo-	*maglos	mál
188	Middle_Welsh	chief, lord	47	73	mail	m a i l	*maglo-	*maglos	mael
189	Middle_Breton	noble (suffix)	47	74	mail	m a i l	*maglo-	*maglos	mael	suffix in personal names
190	Gaulish	noble	47	7	magalos	m a g a l o s	*maglo-	*maglos	magalos	Only attested as deity name
191	Old_Irish	son	48	76	mak	m a k	*makʷo-	*makʷos	macc
192	Old_Welsh	son	48	76	map	m a p	*makʷo-	*makʷos	map
193	Old_Breton	son	48	76	mab	m a b	*makʷo-	*makʷos	mab
194	Old_Cornish	son	48	76	mab	m a b	*makʷo-	*makʷos	mab
195	Gaulish	son	48	77	mapos	m a p o s	*makʷo-	*makʷos	map	Only attested in diety name Maponos
196	Old_Irish	mother	49	78	māθir	m ā θ i r	*māter-	*mātīr	máthir
197	Old_Welsh	bee 	49	78	modr	m o d r	*māter-	*mātīr	modr	From Modrydaf, meaning Queen Bee, literally mother bee (modr + gydaf)
198	Gaulish	mother	49	78	mātīr	m ā t ī r	*māter-	*mātīr	matir
199	Old_Irish	honey	50	79	mil	m i l	*mel-	*meli	mil
200	Old_Welsh	honey	50	79	mel	m e l	*mel-	*meli	mel
201	Old_Cornish	honey	50	79	mel	m e l	*mel-	*meli	mel
202	Old_Breton	honey	50	79	mel	m e l	*mel-	*meli	mel
203	Gaulish	honey	50	79	meli	m e l i	*mel-	*meli	meli
204	Old_Irish	wish	51	80	mīan	m ī a n	*mēno-	*mēnom	mían
205	Middle_Welsh	delight	51	81	mūin	m ū i n	*mēno-	*mēnom	mwyn
206	Old_Irish	month	52	82	mī	m ī	*mīns-	*mīns	mí
207	Middle_Welsh	month	52	82	mīs	m ī s	*mīns-	*mīns	mis
208	Old_Breton	month	52	82	mīs	m ī s	*mīns-	*mīns	mis
209	Old_Cornish	month	52	82	mīs	m ī s	*mīns-	*mīns	mis
210	Old_Irish	pig	53	83	muk	m u k	*mokku-	*mukkus	mucc
211	Old_Welsh	pig	53	83	mōχ	m ō χ	*mokku-	*mukkus	moch
212	Old_Breton	pig	53	83	mōχ	m ō χ	*mokku-	*mukkus	moch
213	Old_Cornish	pig	53	83	moːχ	m oː χ	*mokku-	*mukkus	mogh
214	Old_Irish	malt	54	84	mraix	m r a i x	*mraki-	*mrakis	mraich
215	Middle_Welsh	malt	54	84	brag	b r a g	*mraki-	*mrakis	brag
216 	Middle_Cornish	malt	54	84	brag	b r a g	*mraki-	*mrakis	brag
217 	Old_Irish	smoke	55	85	mūx	m ū x	*muk-	*muk?	múch	Gender of reconstruction is uncertain
218 	Middle_Welsh	smoke	55	85	mūg	m ū g	*muk-	*muk?	mwg	Gender of reconstruction is uncertain
219 	Middle_Breton	smoke	55	85	mog	m o g	*muk-	*muk?	mog	Gender of reconstruction is uncertain
220	Middle_Cornish	smoke	55	85	mūg	m ū g	*muk-	*muk?	mok	Gender of reconstruction is uncertain
221 	Old_Irish	serpent	56	86	naθir	n a θ i r	*natrik-	*natrixs	nathir
222 	Middle_Welsh	serpent	56	86	neidr	n e i d r	*natrik-	*natrixs	neidr
223 	Middle_Breton	serpent	56	86	nazr	n a z r	*natrik-	*natrixs	nazr
224 	Old_Cornish	serpent	56	86	nader	n a d e r	*natrik-	*natrixs	nader
225 	Old_Irish	boat	57	70	nau	n a u	*nāwā	*nāwā	nau
226 	Middle_Welsh	boat	57	70	noe	n o e	*nāwā	*nāwā	noe
227 	Middle_Breton	boat	57	70	nev	n e v	*nāwā	*nāwā	nev
228 	Old_Irish	heaven	58	88	nev	n e v	*nemos-	*nemos	nem
229 	Old_Welsh	heaven	58	88	nem	n e m	*nemos-	*nemos	nem
230 	Old_Breton	heaven	58	88	nem	n e m	*nemos-	*nemos	nem
231 	Old_Cornish	heaven	58	88	nef	n e f	*nemos-	*nemos	nef
232 	Old_Irish	strength	59	89	nert	n e r t	*nerto-	*nertom	nert
233 	Old_Welsh	strength	59	89	nerθ	n e r θ	*nerto-	*nertom	nerth
234 	Old_Breton	strength	59	89	nerθ	n e r θ	*nerto-	*nertom	nerth
235 	Middle_Cornish	strength	59	89	nerθ	n e r θ	*nerto-	*nertom	nerth
236 	Gaulish	strength	59	90	nerto	n e r t o	*nerto-	*nertom	nerto-	Only attested in Proper Noun 'Nertomaros
237 	Celtiberian	strength	59	91	nerto	n e r t o	*nerto-	*nertom	nerto-	Only attested in Place Name 'Nertobis
238	Old_Irish	nine	60	92	nōi	n ō i	*nowan	*nowan	noí
239	Middle_Welsh	nine	60	92	naū	n a ū	*nowan	*nowan	naw
240	Old_Breton	nine	60	92	naū	n a ū	*nowan	*nowan	nau
241	Middle_Cornish	nine	60	92	naū	n a ū	*nowan	*nowan	naw
242	Old_Irish	all	61	93	ule	u l e	*olyo-	*olyos	uile
243	Middle_Welsh	all	61	93	ol	o l	*olyo-	*olyos	oll
244	Old_Breton	all	61	93	hol	h o l	*olyo-	*olyos	holl
245	Middle_Cornish	all	61	93	hol	h o l	*olyo-	*olyos	hol
246	Gaulish	all	61	93	olon	o l o n	*olyo-	*olyos	ollon
247	Old_Irish	lamb	62	94	ūan	ū a n	*owigno-	*owignos	úan
248	Middle_Welsh	lamb	62	94	oen	o e n	*owigno-	*owignos	oin
249	Middle_Breton	lamb	62	94	oen	o e n	*owigno-	*owignos	oin
250	Old_Cornish	lamb	62	94	oin	o i n	*owigno-	*owignos	oin
251	Old_Irish	high	63	3	ūasal	ū a s a l	*ouxselo-	*ouxselos	úasal
252	Middle_Welsh	high	63	3	uχel	u χ e l	*ouxselo-	*ouxselos	uchel
253	Old_Breton	high	63	3	uχel	u χ e l	*ouxselo-	*ouxselos	uchel
254	Gaulish	high	63	96	uxelo	u x e l o	*ouxselo-	*ouxselos	uxello-	From Toponym Uxello-dunum
255	Old_Irish	eight	64	97	oxt	o x t	*oxtū	*oxtū	ocht
256	Old_Welsh	eight	64	97	oiθ	o i θ	*oxtū	*oxtū	oith
257	Old_Breton	eight	64	97	eiθ	e i θ	*oxtū	*oxtū	eith
258	Gaulish	eight	64	97	oxtu	o x t u	*oxtū	*oxtū	oxtu	From oxtumetos "eighth"
259	Old_Irish	course	65	98	riuθ	r i u θ	*retu-	*retus	riuth
260	Middle_Welsh	course	65	98	ret	r e t	*retu-	*retus	ret
261	Middle_Breton	course	65	98	ret	r e t	*retu-	*retus	ret
262	Middle_Cornish	course	65	98	res	r e s	*retu-	*retus	res
263	Old_Irish	law	66	99	rext	r e x t	*rextu-	*rextus	recht
264	Middle_Welsh	law	66	99	raiθ	r a i θ	*rextu-	*rextus	reyth
