ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGIDS	DOCULECT	NOTE	HISTORY	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
1974	b e r s t a n	*bréstaną	b ɜː - - s t - - ( - - )	bɜːst	berstan	480	Old_English		Source: Wiktionary etymology (template:der) | Source: Wiktionary etymology (template:der)			burst	*bréstaną	38
1752	b ɛ r s t ə n	*bréstaną	b ɛ r - s t ə n ( - - )	bɛrstən	bersten	480	German					burst	*bréstaną	38
193	k ɑ l f	*kálbaz	k ɑ l f ( - - )	kɑlf	kalf	54	Dutch					calf	*kálbaz	39
192	k ɑː f	*kálbaz	k ɑː - f ( - - )	kɑːf	calf	54	English					calf	*kálbaz	39
1975	ċ e a l f	*kálbaz	k ɑː - f ( - - )	kɑːf	ċealf	54	Old_English	WS palatalized initial (R/T §6.4.1 rule 1: k before front vowel)	TSV: cealf → ċealf;			calf	*kálbaz	39
191	k a l p	*kálbaz	k a l b ( - - )	kalp	Kalb	54	German					calf	*kálbaz	39
993	k ɑu ʋ ə	*kéwwaną	k ɑu ʋ ə - ( - - )	kɑuʋə	kauwen	272	Dutch					chew	*kéwwaną	40
992	ʧ uː	*kéwwaną	ʧ uː - - - ( - - )	ʧuː	chew	272	English					chew	*kéwwaną	40
1976	ċ ē o w a n	*kéwwaną	ʧ uː - - - ( - - )	ʧuː	ċēowan	272	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			chew	*kéwwaną	40
991	k au ə n	*kéwwaną	k au - ə n ( - - )	kauən	kauen	272	German					chew	*kéwwaną	40
557	k l ɪ m ə	*klímbaną	k l ɪ m - ə - ( - - )	klɪmə	klimmen	152	Dutch					climb	*klímbaną	41
556	k l aɪ m	*klímbaną	k l aɪ m - - - ( - - )	klaɪm	climb	152	English					climb	*klímbaną	41
1977	c l i m b a n	*klímbaną	k l aɪ m - - - ( - - )	klaɪm	climban	152	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			climb	*klímbaną	41
555	k l ɪ m ə n	*klímbaną	k l ɪ m - ə n ( - - )	klɪmən	klimmen	152	German					climb	*klímbaną	41
1680	k ɑ m	*kámbaz	k ɑ m - ( - - )	kɑm	kam	460	Dutch					comb	*kámbaz	42
1679	k əʊ m	*kámbaz	k əʊ m - ( - - )	kəʊm	comb	460	English					comb	*kámbaz	42
1978	c a m b	*kámbaz	k əʊ m - ( - - )	kəʊm	camb	460	Old_English		Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			comb	*kámbaz	42
1678	k a m	*kámbaz	k a m - ( - - )	kam	Kamm	460	German					comb	*kámbaz	42
8	k oː r ə	*kúrną	k oː r - ( ə - )	koːrə	koren	533	Dutch					corn	*kúrną	43
7	k ɔː n	*kúrną	k ɔː - n ( - - )	kɔːn	corn	533	English					corn	*kúrną	43
1979	c o r n	*kúrną	k ɔː - n ( - - )	kɔːn	corn	533	Old_English	Proto: oblique *kurnăn→*kurną (n. a-stem nom.sg.; Kroonen)				corn	*kúrną	43
6	k ɔ r n	*kúrną	k ɔ r n ( - - )	kɔrn	Korn	533	German					corn	*kúrną	43
1093	k uː	*kōz	k uː ( - - )	kuː	koe	299	Dutch	TSV fix: proto *kōwz → *kōz (Kroonen *kō- ~ *ku-, nom.sg. *kōz; -w- was spurious, not in Kroonen or R/T)				cow	*kōz	44
1092	k aʊ	*kōz	k aʊ ( - - )	kaʊ	cow	299	English	TSV fix: proto *kōwz → *kōz (correct PGmc nom.sg. per Kroonen)				cow	*kōz	44
1980	c ȳ	*kūi	c ȳ	kyː	cȳ	299	Old_English	Root noun *kō- ~ *kū- (Kroonen): nom. *kōz, obl. *kū-. OE leveled zero-grade *kū- to all cases; dat.sg. cȳ < *kūi is lautgesetzlich.	TSV fix: using PGmc dat.sg. *kūi (> OE cȳ by i-umlaut, R/T §6.6.1). | See docs/analysis/cow_root_noun_investigation.md			cow	*kōz	44
