language	variety	form	display	sort_key	form_role	source_scope	source_ref	occurrence_id	origin	status
oe		bēġen	bēġen	begen	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:67	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:67:1	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		be-ginnan	be-ginnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:1	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	auto
oe		beginnan	beginnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:2	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	auto
oe		beġinnan	beġinnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:3	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	auto
oe		beġinnan	beġinnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:33	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:33:2	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	auto
oe		beġinnan	beġinnan	beginnan	target_form	lexical_heading	begin — OE beġinnan	heading:5c8f7a4c7cd7cd	manifest	auto
oe		bere	bere	bere	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:39	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:39:2	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	auto
oe		bere	bere	bere	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:51	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:51:2	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	auto
oe		berġe	berġe	berge	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:51	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:51:4	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	auto
oe		berġes	berġes	berges	target_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:33	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:33:1	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	auto
oe		berġes	berġes	berges	target_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:40	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:40:2	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	auto
oe		berġes	berġes	berges	target_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:52	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:52:2	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	auto
oe		berġes	berġes	berges	target_form	lexical_heading	berry — OE berġes	heading:36443cfa49f883	manifest	auto
oe		berige	berige	berige	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:31	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:31:1	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	auto
oe		berige	berige	berige	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:51	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md:51:3	Germanic/docs/lexeme_reports/model_entries/1946-berry-berġes.model.md	auto
oe		bezen	bezen	bezen	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:27	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:27:1	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md	auto
oe		biegan	biegan	biegan	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:21	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:21:1	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	auto
oe		biegan	biegan	biegan	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:21	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:21:2	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	auto
oe		bīeġan	bīeġan	biegan	target_form	lexical_heading	bow — OE bīeġan	heading:104d44dc0e90d4	manifest	auto
oe		bigan	bigan	bigan	comparison_form	broad_prose_decision	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md:25	broad-prose:21377d5c7e1520	broad_prose_curated	override
oe		boc	boc	boc	comparison_form	broad_prose_decision	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21	broad-prose:52fed6865505ad	broad_prose_curated	override
oe		boc	boc	boc	comparison_form	broad_prose_decision	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25	broad-prose:9ae2550e7750fb	broad_prose_curated	override
oe		bōc	bōc	boc	target_form	lexical_heading	beech — OE bōc	heading:8451f4f6cf0e4c	manifest	auto
oe		bocc	bocc	bocc	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md:38	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md:38:2	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md	auto
oe		bocc	bocc	bocc	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md:51	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md:51:2	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md	auto
oe		bodan	bodan	bodan	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md:34	Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md:34:1	Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md	auto
oe		bolt	bolt	bolt	evidence_form	broad_prose_decision	Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.model.md:30	broad-prose:79752fc2a3a681	broad_prose_curated	override
oe		bora	bora	bora	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md:58	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md:58:2	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md	auto
oe		bora	bora	bora	target_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md:58	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md:58:3	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md	auto
oe		bora	bora	bora	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:59	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:59:2	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md	auto
oe		bora	bora	bora	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:59	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:59:3	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md	auto
oe		bora	bora	bora	target_form	lexical_heading	bore (iptv.2sg) — OE bora	heading:9c92cd4c008734	manifest	auto
oe		Boraþ	Boraþ	borath	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:43	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:43:1	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md	auto
oe		boraþ	boraþ	borath	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md:59	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md:59:2	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md	auto
oe		boraþ	boraþ	borath	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md:59	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md:59:3	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md	auto
oe		boraþ	boraþ	borath	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:32	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:32:1	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md	auto
