language	form	display	sort_key	form_role	source_scope	source_ref	origin	status	exclusion_reason	decision_action	decision_note
oe	stæf	stæf	staef	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2212-staff-stæf.model.md:53	Germanic/docs/lexeme_reports/model_entries/2212-staff-stæf.model.md	auto	regular_output_default_exclusion		
oe	stefe	stefe	stefe	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2212-staff-stæf.model.md:51	Germanic/docs/lexeme_reports/model_entries/2212-staff-stæf.model.md	auto	regular_output_default_exclusion		
oe	swanes	swanes	swanes	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2235-swan-swanes.model.md:53	Germanic/docs/lexeme_reports/model_entries/2235-swan-swanes.model.md	auto	regular_output_default_exclusion		
oe	tappa	tappa	tappa	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2240-tap-tæppa.model.md:35	Germanic/docs/lexeme_reports/model_entries/2240-tap-tæppa.model.md	auto	regular_output_default_exclusion		
oe	tappa	tappa	tappa	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2240-tap-tæppa.model.md:46	Germanic/docs/lexeme_reports/model_entries/2240-tap-tæppa.model.md	auto	regular_output_default_exclusion		
oe	þistl	þistl	thistl	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md:50	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md	auto	regular_output_default_exclusion		
oe	þistles	þistles	thistles	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md:40	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md	auto	regular_output_default_exclusion		
oe	þistles	þistles	thistles	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md:51	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md	auto	regular_output_default_exclusion		
oe	þūsend	þūsend	thusend	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md:57	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md	auto	regular_output_default_exclusion		
oe	þūsend	þūsend	thusend	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md:68	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md	auto	regular_output_default_exclusion		
oe	timber	timber	timber	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2258-timber-timber.model.md:38	Germanic/docs/lexeme_reports/model_entries/2258-timber-timber.model.md	auto	regular_output_default_exclusion		
oe	timber	timber	timber	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2258-timber-timber.model.md:49	Germanic/docs/lexeme_reports/model_entries/2258-timber-timber.model.md	auto	regular_output_default_exclusion		
oe	wacan	wacan	wacan	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2268-wake-wacan.model.md:44	Germanic/docs/lexeme_reports/model_entries/2268-wake-wacan.model.md	auto	regular_output_default_exclusion		
oe	wacan	wacan	wacan	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2268-wake-wacan.model.md:54	Germanic/docs/lexeme_reports/model_entries/2268-wake-wacan.model.md	auto	regular_output_default_exclusion		
oe	wæfs	wæfs	waefs	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2273-wasp-wæfs.model.md:48	Germanic/docs/lexeme_reports/model_entries/2273-wasp-wæfs.model.md	auto	regular_output_default_exclusion		
oe	wæter	wæter	waeter	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2274-water-wæter.model.md:44	Germanic/docs/lexeme_reports/model_entries/2274-water-wæter.model.md	auto	regular_output_default_exclusion		
oe	wæter	wæter	waeter	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2274-water-wæter.model.md:55	Germanic/docs/lexeme_reports/model_entries/2274-water-wæter.model.md	auto	regular_output_default_exclusion		
oe	weorold	weorold	weorold	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2302-world-weorold.model.md:69	Germanic/docs/lexeme_reports/model_entries/2302-world-weorold.model.md	auto	regular_output_default_exclusion		
oe	wīþiġ	wīþiġ	withig	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2296-withy-wīþiġ.model.md:50	Germanic/docs/lexeme_reports/model_entries/2296-withy-wīþiġ.model.md	auto	regular_output_default_exclusion		
oe	wīþiġ	wīþiġ	withig	regular_output	explicit_tag	Germanic/docs/lexeme_reports/model_entries/2296-withy-wīþiġ.model.md:66	Germanic/docs/lexeme_reports/model_entries/2296-withy-wīþiġ.model.md	auto	regular_output_default_exclusion		
oe	woll	woll	woll	regular_output	broad_prose_decision	Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.model.md:30	broad_prose_curated	override	regular_output_default_exclusion		
